2022-12-18 14:16:58,522 INFO    MainThread:18911 [wandb_setup.py:_flush():68] Configure stats pid to 18911
2022-12-18 14:16:58,523 INFO    MainThread:18911 [wandb_setup.py:_flush():68] Loading settings from /h/angelo/.config/wandb/settings
2022-12-18 14:16:58,523 INFO    MainThread:18911 [wandb_setup.py:_flush():68] Loading settings from /ssd003/home/angelo/single-cell-proj/repo/team_single_cell/experiments/scripts/wandb/settings
2022-12-18 14:16:58,523 INFO    MainThread:18911 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'entity': 'team-single-cell', 'project': 'gex_atac_sweep', 'sweep_id': 'j1snhit4', 'root_dir': '/ssd003/home/angelo/single-cell-proj/repo/team_single_cell/experiments/scripts', 'run_id': '6391z1s0', 'sweep_param_path': '/ssd003/home/angelo/single-cell-proj/repo/team_single_cell/experiments/scripts/wandb/sweep-j1snhit4/config-6391z1s0.yaml'}
2022-12-18 14:16:58,523 INFO    MainThread:18911 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'experiments/scripts/gex_atac_sweep.py', 'program': 'gex_atac_sweep.py'}
2022-12-18 14:16:58,523 INFO    MainThread:18911 [wandb_init.py:_log_setup():476] Logging user logs to /ssd003/home/angelo/single-cell-proj/repo/team_single_cell/experiments/scripts/wandb/run-20221218_141658-6391z1s0/logs/debug.log
2022-12-18 14:16:58,523 INFO    MainThread:18911 [wandb_init.py:_log_setup():477] Logging internal logs to /ssd003/home/angelo/single-cell-proj/repo/team_single_cell/experiments/scripts/wandb/run-20221218_141658-6391z1s0/logs/debug-internal.log
2022-12-18 14:16:58,523 INFO    MainThread:18911 [wandb_init.py:init():516] calling init triggers
2022-12-18 14:16:58,523 INFO    MainThread:18911 [wandb_init.py:init():520] wandb.init called with sweep_config: {'atac_dim': 2500, 'atac_weight': 16.932509239509237, 'epochs': 20, 'gex_dim': 2500, 'gex_weight': 47.70902342074347, 'init': 'he', 'latent_dim': 20, 'lr': 0.0001, 'model': [[1000, 200], [50, 100], [2000, 400], [100, 300]], 'weight_decay': 0.05515198509467254}
config: {'gex_dim': 2500, 'atac_dim': 7000, 'latent_dim': 20, 'model': [[1600, 1200, 800, 400, 200, 100, 50], [80, 160, 240, 640, 960, 1200], [2400, 1200, 800, 400, 200, 100, 50], [80, 160, 240, 640, 960, 1200, 1600]], 'init': 'he', 'lr': 0.001, 'weight_decay': 0.001, 'epochs': 20, 'gex_weight': 5, 'atac_weight': 5}
2022-12-18 14:16:58,523 INFO    MainThread:18911 [wandb_init.py:init():569] starting backend
2022-12-18 14:16:58,523 INFO    MainThread:18911 [wandb_init.py:init():573] setting up manager
2022-12-18 14:16:58,529 INFO    MainThread:18911 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-12-18 14:16:58,538 INFO    MainThread:18911 [wandb_init.py:init():580] backend started and connected
2022-12-18 14:16:58,547 INFO    MainThread:18911 [wandb_run.py:_config_callback():1163] config_cb None None {'atac_dim': 2500, 'atac_weight': 16.932509239509237, 'epochs': 20, 'gex_dim': 2500, 'gex_weight': 47.70902342074347, 'init': 'he', 'latent_dim': 20, 'lr': 0.0001, 'model': [[1000, 200], [50, 100], [2000, 400], [100, 300]], 'weight_decay': 0.05515198509467254}
2022-12-18 14:16:58,550 INFO    MainThread:18911 [wandb_init.py:init():658] updated telemetry
2022-12-18 14:16:58,572 INFO    MainThread:18911 [wandb_init.py:init():694] communicating run to backend with 60 second timeout
2022-12-18 14:16:58,759 INFO    MainThread:18911 [wandb_run.py:_on_init():2006] communicating current version
2022-12-18 14:16:58,808 INFO    MainThread:18911 [wandb_run.py:_on_init():2010] got version response 
2022-12-18 14:16:58,808 INFO    MainThread:18911 [wandb_init.py:init():728] starting run threads in backend
2022-12-18 14:17:03,703 INFO    MainThread:18911 [wandb_run.py:_console_start():1986] atexit reg
2022-12-18 14:17:03,703 INFO    MainThread:18911 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2022-12-18 14:17:03,703 INFO    MainThread:18911 [wandb_run.py:_redirect():1909] Wrapping output streams.
2022-12-18 14:17:03,703 INFO    MainThread:18911 [wandb_run.py:_redirect():1931] Redirects installed.
2022-12-18 14:17:03,710 INFO    MainThread:18911 [wandb_init.py:init():765] run started, returning control to user process
2022-12-18 14:28:14,209 WARNING MsgRouterThr:18911 [router.py:message_loop():77] message_loop has been closed
