2022-12-18 14:25:19,263 INFO    MainThread:11477 [wandb_setup.py:_flush():68] Configure stats pid to 11477
2022-12-18 14:25:19,264 INFO    MainThread:11477 [wandb_setup.py:_flush():68] Loading settings from /h/angelo/.config/wandb/settings
2022-12-18 14:25:19,264 INFO    MainThread:11477 [wandb_setup.py:_flush():68] Loading settings from /ssd003/home/angelo/single-cell-proj/repo/team_single_cell/experiments/scripts/wandb/settings
2022-12-18 14:25:19,264 INFO    MainThread:11477 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'entity': 'team-single-cell', 'project': 'gex_atac_sweep', 'sweep_id': 'j1snhit4', 'root_dir': '/ssd003/home/angelo/single-cell-proj/repo/team_single_cell/experiments/scripts', 'run_id': 'do3om9h9', 'sweep_param_path': '/ssd003/home/angelo/single-cell-proj/repo/team_single_cell/experiments/scripts/wandb/sweep-j1snhit4/config-do3om9h9.yaml'}
2022-12-18 14:25:19,264 INFO    MainThread:11477 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'experiments/scripts/gex_atac_sweep.py', 'program': 'gex_atac_sweep.py'}
2022-12-18 14:25:19,264 INFO    MainThread:11477 [wandb_init.py:_log_setup():476] Logging user logs to /ssd003/home/angelo/single-cell-proj/repo/team_single_cell/experiments/scripts/wandb/run-20221218_142519-do3om9h9/logs/debug.log
2022-12-18 14:25:19,264 INFO    MainThread:11477 [wandb_init.py:_log_setup():477] Logging internal logs to /ssd003/home/angelo/single-cell-proj/repo/team_single_cell/experiments/scripts/wandb/run-20221218_142519-do3om9h9/logs/debug-internal.log
2022-12-18 14:25:19,265 INFO    MainThread:11477 [wandb_init.py:init():516] calling init triggers
2022-12-18 14:25:19,265 INFO    MainThread:11477 [wandb_init.py:init():520] wandb.init called with sweep_config: {'atac_dim': 7500, 'atac_weight': 7.694936168342501, 'epochs': 80, 'gex_dim': 2500, 'gex_weight': 38.45696610100803, 'init': 'he', 'latent_dim': 20, 'lr': 1e-05, 'model': [[1600, 800, 400, 100], [40, 60, 100, 150], [1800, 800, 400, 100], [40, 60, 120, 200]], 'weight_decay': 0.05748175981524234}
config: {'gex_dim': 2500, 'atac_dim': 7000, 'latent_dim': 20, 'model': [[1000, 800, 600, 400, 200], [10, 30, 50, 100, 160], [1200, 900, 600, 400, 150], [15, 40, 60, 100, 180]], 'init': 'he', 'lr': 0.001, 'weight_decay': 0.001, 'epochs': 20, 'gex_weight': 5, 'atac_weight': 5}
2022-12-18 14:25:19,265 INFO    MainThread:11477 [wandb_init.py:init():569] starting backend
2022-12-18 14:25:19,265 INFO    MainThread:11477 [wandb_init.py:init():573] setting up manager
2022-12-18 14:25:19,275 INFO    MainThread:11477 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-12-18 14:25:19,285 INFO    MainThread:11477 [wandb_init.py:init():580] backend started and connected
2022-12-18 14:25:19,292 INFO    MainThread:11477 [wandb_run.py:_config_callback():1163] config_cb None None {'atac_dim': 7500, 'atac_weight': 7.694936168342501, 'epochs': 80, 'gex_dim': 2500, 'gex_weight': 38.45696610100803, 'init': 'he', 'latent_dim': 20, 'lr': 1e-05, 'model': [[1600, 800, 400, 100], [40, 60, 100, 150], [1800, 800, 400, 100], [40, 60, 120, 200]], 'weight_decay': 0.05748175981524234}
2022-12-18 14:25:19,294 INFO    MainThread:11477 [wandb_init.py:init():658] updated telemetry
2022-12-18 14:25:19,317 INFO    MainThread:11477 [wandb_init.py:init():694] communicating run to backend with 60 second timeout
2022-12-18 14:25:19,490 INFO    MainThread:11477 [wandb_run.py:_on_init():2006] communicating current version
2022-12-18 14:25:19,524 INFO    MainThread:11477 [wandb_run.py:_on_init():2010] got version response 
2022-12-18 14:25:19,524 INFO    MainThread:11477 [wandb_init.py:init():728] starting run threads in backend
2022-12-18 14:25:23,966 INFO    MainThread:11477 [wandb_run.py:_console_start():1986] atexit reg
2022-12-18 14:25:23,966 INFO    MainThread:11477 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2022-12-18 14:25:23,966 INFO    MainThread:11477 [wandb_run.py:_redirect():1909] Wrapping output streams.
2022-12-18 14:25:23,966 INFO    MainThread:11477 [wandb_run.py:_redirect():1931] Redirects installed.
2022-12-18 14:25:23,967 INFO    MainThread:11477 [wandb_init.py:init():765] run started, returning control to user process
